rank,title,director,attrs,date,rating_num,rating_people
75,看不见的客人,奥里奥尔·保罗 Oriol Paulo, 马里奥·卡萨斯 Mario Casas / 阿,2016,8.8,1442945
76,拯救大兵瑞恩,史蒂文·斯皮尔伯格 Steven Spielberg, 汤姆·汉克斯 Tom Hanks,1998,9.1,726069
77,沉默的羔羊,乔纳森·戴米 Jonathan Demme, 朱迪·福斯特 Jodie Foster / 安,1991,8.9,1017862
78,小鞋子,马基德·马基迪 Majid Majidi, 默罕默德·阿米尔·纳吉 Mohamma,1997,9.2,466994
79,布达佩斯大饭店,韦斯·安德森 Wes Anderson, 拉尔夫·费因斯 Ralph Fiennes ,2014,8.9,1087293
80,蝴蝶效应,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...,,2004,8.9,1069981
81,飞越疯人院,米洛斯·福尔曼 Miloš Forman, 杰克·尼科尔森 Jack Nichols,1975,9.1,605196
82,还有明天,宝拉·柯特莱西 Paola Cortellesi, 宝拉·柯特莱西 Paola Corte,2023,9.3,373926
83,禁闭岛,Martin Scorsese, 莱昂纳多·迪卡普里奥 Leonardo DiCaprio ,2010,8.9,1115841
84,心灵捕手,格斯·范·桑特 Gus Van Sant, 马特·达蒙 Matt Damon / 罗宾·,1997,9.0,816683
85,致命魔术,克里斯托弗·诺兰 Christopher Nolan, 休·杰克曼 Hugh Jackman,2006,8.9,965859
86,低俗小说,昆汀·塔伦蒂诺 Quentin Tarantino, 约翰·特拉沃尔塔 John Tra,1994,8.9,961564
87,哈利·波特与密室,Chris Columbus, 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛,2002,8.9,919009
88,超脱,托尼·凯耶 Tony Kaye, 艾德里安·布洛迪 Adrien Brody / 马西,2011,9.0,725034
89,一一,杨德昌 Edward Yang, 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai,2000,9.1,512457
90,喜剧之王,周星驰 Stephen Chow / 李力持 Lik-Chi Lee, 周星驰 Stephen Ch,1999,8.8,1097842
91,致命ID,詹姆斯·曼高德 James Mangold, 约翰·库萨克 John Cusack / 雷,2003,8.9,952011
92,杀人回忆,奉俊昊 Joon-ho Bong, 宋康昊 Kang-ho Song / 金相庆 Sang-kyun,2003,8.9,839533
93,摩登时代,查理·卓别林 Charles Chaplin, 查理·卓别林 Charles Chaplin ,1936,9.3,347963
94,春光乍泄,王家卫 Kar Wai Wong, 张国荣 Leslie Cheung / 梁朝伟 Tony Leu,1997,9.0,710940
95,加勒比海盗,戈尔·维宾斯基 Gore Verbinski, 约翰尼·德普 Johnny Depp ,2003,8.8,971085
96,海豚湾,路易·西霍尤斯 Louie Psihoyos, 路易·西霍尤斯 Louie Psihoyo,2009,9.3,382944
97,美国往事,赛尔乔·莱翁内 Sergio Leone, 罗伯特·德尼罗 Robert De Niro ,1984,9.1,473141
98,红辣椒,今敏 Satoshi Kon, 林原惠美 Megumi Hayashibara / 江守彻 Toru,2006,9.0,572246
99,七宗罪,大卫·芬奇 David Fincher, 摩根·弗里曼 Morgan Freeman / 布,1995,8.8,1064854
100,唐伯虎点秋香,李力持 Lik-Chi Lee, 周星驰 Stephen Chow / 巩俐 Li Gong / 陈,1993,8.8,1227551
101,狩猎,托马斯·温特伯格 Thomas Vinterberg, 麦斯·米科尔森 Mads Mik,2012,9.1,472357
102,幽灵公主,宫崎骏 Hayao Miyazaki, 松田洋治 Yôji Matsuda / 石田百合,1997,8.9,671739
103,甜蜜蜜,陈可辛 Peter Chan, 黎明 Leon Lai / 张曼玉 Maggie Cheung ,1996,8.9,676093
104,寄生虫,奉俊昊 Joon-ho Bong, 宋康昊 Kang-ho Song / 李善均 Seon-gyun,2019,8.8,1552124
105,天书奇谭,王树忱 Shuchen Wang / 钱运达 Yunda Qian, 丁建华 Jianhua Din,,9.2,336785
106,蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰 Christopher Nolan, 克里斯蒂安·贝尔 Christ,2012,8.9,816508
107,超能陆战队,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams, 斯科特,2014,8.8,1148771
108,7号房的礼物,李焕庆 Hwan-kyeong Lee, 柳承龙 Seung-yong Ryoo / 朴信惠 Shi,2013,8.9,623781
109,茶馆,谢添 Tian Xie, 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T,,9.5,210625
110,第六感,M·奈特·沙马兰 M. Night Shyamalan, 布鲁斯·威利斯 Bruce Wi,1999,8.9,640886
111,爱在黎明破晓前,理查德·林克莱特 Richard Linklater, 伊桑·霍克 Ethan Hawke ,1995,8.8,804659
112,爱在日落黄昏时,理查德·林克莱特 Richard Linklater, 伊桑·霍克 Ethan Hawke ,2004,8.9,656839
113,被嫌弃的松子的一生,中岛哲也 Tetsuya Nakashima, 中谷美纪 Miki Nakatani / 瑛太 E,2006,8.8,777020
114,头脑特工队,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,,2015,8.8,810150
